Entity,Code,Year,Earthquake deaths (NGDC-NOAA)
United States,USA,1802,0
United States,USA,1804,0
United States,USA,1808,0
United States,USA,1810,0
United States,USA,1811,0
United States,USA,1812,41
United States,USA,1814,0
United States,USA,1815,0
United States,USA,1816,0
United States,USA,1818,0
United States,USA,1819,0
United States,USA,1820,0
United States,USA,1821,0
United States,USA,1822,0
United States,USA,1825,0
United States,USA,1827,0
United States,USA,1828,0
United States,USA,1829,0
United States,USA,1830,0
United States,USA,1831,0
United States,USA,1833,0
United States,USA,1834,0
United States,USA,1835,0
United States,USA,1837,0
United States,USA,1839,0
United States,USA,1840,0
United States,USA,1842,0
United States,USA,1843,0
United States,USA,1844,0
United States,USA,1845,0
United States,USA,1846,0
United States,USA,1847,0
United States,USA,1848,0
United States,USA,1850,0
United States,USA,1851,0
United States,USA,1852,0
United States,USA,1853,0
United States,USA,1854,0
United States,USA,1855,0
United States,USA,1856,0
United States,USA,1857,0
United States,USA,1858,0
United States,USA,1859,0
United States,USA,1861,0
United States,USA,1862,0
United States,USA,1863,0
United States,USA,1864,0
United States,USA,1865,0
United States,USA,1866,0
United States,USA,1867,0
United States,USA,1868,107
United States,USA,1869,0
United States,USA,1870,0
United States,USA,1872,27
United States,USA,1874,0
United States,USA,1875,0
United States,USA,1877,0
United States,USA,1878,0
United States,USA,1879,0
United States,USA,1880,0
United States,USA,1881,0
United States,USA,1882,0
United States,USA,1883,0
United States,USA,1884,0
United States,USA,1885,0
United States,USA,1886,60
United States,USA,1887,0
United States,USA,1888,0
United States,USA,1889,0
United States,USA,1890,0
United States,USA,1891,0
United States,USA,1893,0
United States,USA,1894,0
United States,USA,1895,0
United States,USA,1896,0
United States,USA,1897,0
United States,USA,1898,0
United States,USA,1899,0
United States,USA,1900,5
United States,USA,1901,0
United States,USA,1902,0
United States,USA,1903,0
United States,USA,1904,0
United States,USA,1905,0
United States,USA,1906,0
United States,USA,1907,0
United States,USA,1908,0
United States,USA,1909,0
United States,USA,1910,0
United States,USA,1911,0
United States,USA,1912,0
United States,USA,1913,0
United States,USA,1914,0
United States,USA,1915,0
United States,USA,1916,0
United States,USA,1917,0
United States,USA,1918,0
United States,USA,1920,0
United States,USA,1922,0
United States,USA,1923,0
United States,USA,1924,0
United States,USA,1925,13
United States,USA,1926,0
United States,USA,1927,1
United States,USA,1928,0
United States,USA,1929,0
United States,USA,1930,1
United States,USA,1931,0
United States,USA,1932,0
United States,USA,1933,0
United States,USA,1934,0
United States,USA,1935,4
United States,USA,1936,0
United States,USA,1937,0
United States,USA,1938,0
United States,USA,1939,0
United States,USA,1940,9
United States,USA,1941,0
United States,USA,1942,0
United States,USA,1943,0
United States,USA,1944,0
United States,USA,1945,0
United States,USA,1946,167
United States,USA,1947,0
United States,USA,1948,0
United States,USA,1949,8
United States,USA,1950,0
United States,USA,1951,0
United States,USA,1952,14
United States,USA,1953,0
United States,USA,1954,0
United States,USA,1955,0
United States,USA,1956,0
United States,USA,1957,2
United States,USA,1958,5
United States,USA,1959,28
United States,USA,1960,0
United States,USA,1961,0
United States,USA,1962,0
United States,USA,1963,0
United States,USA,1964,139
United States,USA,1965,7
United States,USA,1966,0
United States,USA,1967,0
United States,USA,1968,0
United States,USA,1969,1
United States,USA,1970,0
United States,USA,1971,65
United States,USA,1972,0
United States,USA,1973,0
United States,USA,1974,0
United States,USA,1975,2
United States,USA,1976,0
United States,USA,1977,0
United States,USA,1978,0
United States,USA,1979,0
United States,USA,1980,61
United States,USA,1981,0
United States,USA,1982,0
United States,USA,1983,2
United States,USA,1984,0
United States,USA,1985,0
United States,USA,1986,0
United States,USA,1987,11
United States,USA,1988,0
United States,USA,1989,62
United States,USA,1990,0
United States,USA,1991,2
United States,USA,1992,3
United States,USA,1993,0
United States,USA,1994,60
United States,USA,1995,0
United States,USA,1996,0
United States,USA,1997,0
United States,USA,1998,0
United States,USA,1999,0
United States,USA,2000,0
United States,USA,2001,1
United States,USA,2002,0
United States,USA,2003,2
United States,USA,2004,0
United States,USA,2005,0
United States,USA,2006,0
United States,USA,2007,12
United States,USA,2008,0
United States,USA,2009,0
United States,USA,2010,0
United States,USA,2011,0
United States,USA,2012,0
United States,USA,2013,14
United States,USA,2014,1
United States,USA,2015,0
United States,USA,2016,0
United States,USA,2017,0
